date,asset,n_news_total,sent_index_mean,sent_index_strength,share_pos,share_neg,share_neu
2023-11-15,USD/PEN,1,0.0765627920627594,0.06082373460109025,0.0,0.0,1.0
2025-06-06,USD/PEN,1,-0.47222399339079857,-0.23786387815014343,0.0,1.0,0.0
2025-06-17,USD/PEN,1,-0.03740309178829193,-0.030197646242198672,0.0,0.0,1.0
2025-06-18,USD/PEN,1,-0.4305191282182932,-0.2197670108123455,0.0,0.0,1.0
2025-11-21,USD/PEN,1,-0.8868141118437052,-0.7942026693632469,0.0,1.0,0.0
2025-12-07,USD/PEN,1,-0.9337967466562986,-0.889424578927795,0.0,1.0,0.0
2025-12-12,USD/PEN,1,-0.3057749718427658,-0.15049207596038183,0.0,1.0,0.0
2025-12-16,USD/PEN,1,0.05906716734170914,0.05223266969524287,0.0,0.0,1.0
2026-01-01,USD/PEN,4,0.16237415513023734,0.08453546782239904,0.25,0.0,0.75
2026-01-02,USD/PEN,44,-0.04521581658627838,-0.038225329477177425,0.20454545454545456,0.29545454545454547,0.5
2026-01-03,USD/PEN,33,0.04334006300478271,0.02215260901438395,0.15151515151515152,0.18181818181818182,0.6666666666666666
2026-01-04,USD/PEN,4,-0.3424710272811353,-0.21728382399032617,0.0,0.5,0.5
2026-01-05,USD/PEN,108,-0.08843889913771784,-0.05719540068583723,0.10185185185185185,0.19444444444444445,0.7037037037037037
2026-01-06,USD/PEN,1,-0.7821293752640486,-0.6216546424063931,0.0,1.0,0.0
2026-01-07,USD/PEN,1,-0.025425724685192108,-0.019168891601342608,0.0,0.0,1.0
2026-01-08,USD/PEN,2,-0.055201807990670204,-0.0204833598394627,0.0,0.0,1.0
2026-01-09,USD/PEN,47,-0.08640127745952378,-0.07256036414070582,0.1276595744680851,0.2553191489361702,0.6170212765957447
