slice_group,slice_value,threshold,n,accuracy,precision,recall,f1,pr_auc,tn,fp,fn,tp
slice_confidence,confianza_baja,0.5,30,0.6666666666666666,0.8181818181818182,0.5294117647058824,0.6428571428571429,0.7499782495418772,11,2,8,9
slice_confidence,confianza_media,0.5,29,0.7931034482758621,0.8,0.6666666666666666,0.7272727272727273,0.7567791005291006,15,2,4,8
slice_confidence,confianza_alta,0.5,29,0.896551724137931,1.0,0.75,0.8571428571428571,0.9150284900284901,17,0,3,9
slice_neutrality,neutralidad_no_alta,0.5,63,0.7619047619047619,0.8636363636363636,0.6129032258064516,0.7169811320754716,0.8472262006620799,29,3,12,19
slice_neutrality,alta_neutralidad,0.5,25,0.84,0.875,0.7,0.7777777777777778,0.887664046479836,14,1,3,7
slice_news_volume,volumen_medio,0.5,29,0.7586206896551724,0.6,0.375,0.46153846153846156,0.5235645933014355,19,2,5,3
slice_news_volume,volumen_alto,0.5,29,0.7586206896551724,1.0,0.6666666666666666,0.8,0.9590370498568104,8,0,7,14
slice_news_volume,volumen_bajo,0.5,30,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174,0.9248057498057499,16,2,3,9
slice_strength,intensidad_baja,0.5,30,0.7,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.8315626817977503,11,2,7,10
slice_strength,intensidad_media,0.5,29,0.8275862068965517,0.875,0.6363636363636364,0.7368421052631579,0.8043893195078966,17,1,4,7
slice_strength,intensidad_alta,0.5,29,0.8275862068965517,0.9,0.6923076923076923,0.782608695652174,0.8807511932511931,15,1,4,9
slice_time_window,inicio_periodo,0.5,30,0.9333333333333333,0.0,0.0,0.0,,28,2,0,0
slice_time_window,final_periodo,0.5,29,0.4827586206896552,0.8,0.38095238095238093,0.5161290322580645,0.8019474445727706,6,2,13,8
slice_time_window,medio_periodo,0.5,29,0.9310344827586207,1.0,0.9,0.9473684210526315,1.0000000000000002,9,0,2,18
