threshold,accuracy,precision,recall,f1
0.022248645327548874,0.7037037037037037,0.7037037037037037,1.0,0.8260869565217391
0.038660042053747554,0.6666666666666666,0.6923076923076923,0.9473684210526315,0.8
0.07893120636457693,0.7037037037037037,0.72,0.9473684210526315,0.8181818181818182
0.09483516030191119,0.7407407407407407,0.75,0.9473684210526315,0.8372093023255814
0.19910170046319886,0.7777777777777778,0.782608695652174,0.9473684210526315,0.8571428571428571
0.32631930790906977,0.7407407407407407,0.7727272727272727,0.8947368421052632,0.8292682926829268
0.36124518443147796,0.7037037037037037,0.7619047619047619,0.8421052631578947,0.8
0.38649740203539584,0.6666666666666666,0.75,0.7894736842105263,0.7692307692307693
0.4196261063303151,0.6296296296296297,0.7368421052631579,0.7368421052631579,0.7368421052631579
0.42839125677453094,0.5925925925925926,0.7222222222222222,0.6842105263157895,0.7027027027027027
0.43284736949378705,0.6296296296296297,0.7647058823529411,0.6842105263157895,0.7222222222222222
0.4492678437502494,0.5925925925925926,0.75,0.631578947368421,0.6857142857142857
0.4588526347190802,0.5555555555555556,0.7333333333333333,0.5789473684210527,0.6470588235294118
0.47419145615017183,0.5185185185185185,0.7142857142857143,0.5263157894736842,0.6060606060606061
0.4815448939734428,0.48148148148148145,0.6923076923076923,0.47368421052631576,0.5625
0.48546753396895026,0.4444444444444444,0.6666666666666666,0.42105263157894735,0.5161290322580645
0.5034231430811212,0.48148148148148145,0.7272727272727273,0.42105263157894735,0.5333333333333333
0.5270550457902279,0.4444444444444444,0.7,0.3684210526315789,0.4827586206896552
0.5431613358796288,0.48148148148148145,0.7777777777777778,0.3684210526315789,0.5
0.5628904965122221,0.4444444444444444,0.75,0.3157894736842105,0.4444444444444444
0.563985821782019,0.4074074074074074,0.7142857142857143,0.2631578947368421,0.38461538461538464
0.5712669975226969,0.37037037037037035,0.6666666666666666,0.21052631578947367,0.32
0.5786354316016789,0.4074074074074074,0.8,0.21052631578947367,0.3333333333333333
0.6284889043619925,0.37037037037037035,0.75,0.15789473684210525,0.2608695652173913
0.6482341061718673,0.4074074074074074,1.0,0.15789473684210525,0.2727272727272727
0.9563017887047227,0.37037037037037035,1.0,0.10526315789473684,0.19047619047619047
0.9794215812548598,0.3333333333333333,1.0,0.05263157894736842,0.1
