model,fold,accuracy,f1_binary,precision,recall,pr_auc,elapsed_seconds,n_train,n_test,train_class_0,train_class_1,test_class_0,test_class_1
Baseline_lag1,1,0.5555555555555556,0.42857142857142855,0.5,0.375,0.6396367521367521,0.0039975643157958984,70,18,37,33,10,8
Baseline_lag1,2,0.6111111111111112,0.5882352941176471,0.5555555555555556,0.625,0.7311823593073592,0.0030031204223632812,70,18,37,33,10,8
Baseline_lag1,3,0.5555555555555556,0.42857142857142855,0.6,0.3333333333333333,0.5607142857142857,0.0009968280792236328,70,18,38,32,9,9
Baseline_lag1,4,0.5294117647058824,0.5,0.5,0.5,0.5709595959595959,0.0019996166229248047,71,17,38,33,9,8
Baseline_lag1,5,0.5882352941176471,0.5882352941176471,0.5555555555555556,0.625,0.7284000721500722,0.0009992122650146484,71,17,38,33,9,8
Var1_lag1_lag2,1,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5,0.7265318627450981,0.0009999275207519531,70,18,37,33,10,8
Var1_lag1_lag2,2,0.6666666666666666,0.6666666666666666,0.6,0.75,0.8253787878787878,0.0019915103912353516,70,18,37,33,10,8
Var1_lag1_lag2,3,0.5555555555555556,0.5,0.5714285714285714,0.4444444444444444,0.5033068783068784,0.0009925365447998047,70,18,38,32,9,9
Var1_lag1_lag2,4,0.5882352941176471,0.46153846153846156,0.6,0.375,0.4879901960784314,0.002004861831665039,71,17,38,33,9,8
Var1_lag1_lag2,5,0.7058823529411765,0.7058823529411765,0.6666666666666666,0.75,0.8538690476190477,0.0010061264038085938,71,17,38,33,9,8
Var2_lags_volume_shares,1,0.7222222222222222,0.6153846153846154,0.8,0.5,0.7656746031746031,0.0020952224731445312,70,18,37,33,10,8
Var2_lags_volume_shares,2,0.6111111111111112,0.5333333333333333,0.5714285714285714,0.5,0.7354895104895105,0.0020813941955566406,70,18,37,33,10,8
Var2_lags_volume_shares,3,0.5,0.4,0.5,0.3333333333333333,0.5096350635566322,0.002000570297241211,70,18,38,32,9,9
Var2_lags_volume_shares,4,0.4117647058823529,0.16666666666666666,0.25,0.125,0.4824346405228758,0.002000570297241211,71,17,38,33,9,8
Var2_lags_volume_shares,5,0.5882352941176471,0.5333333333333333,0.5714285714285714,0.5,0.7593749999999999,0.0018951892852783203,71,17,38,33,9,8
Var3_full_temporal,1,0.7222222222222222,0.5454545454545454,1.0,0.375,0.8043650793650794,0.0019431114196777344,70,18,37,33,10,8
Var3_full_temporal,2,0.6111111111111112,0.5333333333333333,0.5714285714285714,0.5,0.7520053475935828,0.001969575881958008,70,18,37,33,10,8
Var3_full_temporal,3,0.5,0.4,0.5,0.3333333333333333,0.5067019400352734,0.001993417739868164,70,18,38,32,9,9
Var3_full_temporal,4,0.4117647058823529,0.16666666666666666,0.25,0.125,0.4913632119514472,0.0020308494567871094,71,17,38,33,9,8
Var3_full_temporal,5,0.5294117647058824,0.5,0.5,0.5,0.7466006216006216,0.0014944076538085938,71,17,38,33,9,8
